competition_key,season,team_id,promotable_match_teams,review_needed_match_teams,blocked_conflict_match_teams
brasileirao_a,2023,3422,38,38,0
brasileirao_a,2022,3422,38,38,0
brasileirao_a,2021,3422,38,38,0
libertadores,2021,3422,13,13,0
libertadores,2022,3422,12,12,0
libertadores,2023,3422,12,12,0
copa_do_brasil,2023,3422,6,6,0
copa_do_brasil,2022,3422,4,4,0
copa_do_brasil,2021,3422,2,2,0
serie_a_it,2021,109,0,38,0
serie_a_it,2020,109,0,38,0
brasileirao_a,2023,3621,0,38,0
premier_league,2020,51,0,38,0
brasileirao_a,2023,9323,0,38,0
la_liga,2022,6827,0,38,0
brasileirao_a,2021,2352,0,38,0
brasileirao_a,2021,3621,0,38,0
brasileirao_a,2022,3621,0,38,0
brasileirao_a,2022,3684,0,38,0
brasileirao_a,2022,5463,0,38,0
brasileirao_a,2022,6468,0,38,0
brasileirao_a,2022,9323,0,38,0
serie_a_it,2022,109,0,38,0
brasileirao_b,2021,6764,0,38,0
brasileirao_b,2021,9181,0,38,0
brasileirao_b,2021,9323,0,38,0
brasileirao_b,2022,710,0,38,0
brasileirao_b,2022,2352,0,38,0
brasileirao_b,2022,6764,0,38,0
brasileirao_b,2022,9181,0,38,0
brasileirao_b,2022,13292,0,38,0
brasileirao_b,2023,710,0,38,0
brasileirao_b,2023,2352,0,38,0
brasileirao_b,2023,6544,0,38,0
brasileirao_b,2023,6764,0,38,0
brasileirao_b,2023,9181,0,38,0
brasileirao_b,2023,11126,0,38,0
brasileirao_b,2023,13292,0,38,0
la_liga,2021,36,0,38,0
la_liga,2020,36,0,38,0
brasileirao_a,2021,710,0,38,0
brasileirao_b,2021,696,0,38,0
brasileirao_b,2021,6468,0,38,0
brasileirao_b,2023,6468,0,37,0
brasileirao_b,2022,696,0,37,0
bundesliga,2020,2726,0,34,0
bundesliga,2022,503,0,34,0
bundesliga,2022,2726,0,34,0
bundesliga,2021,2726,0,34,0
bundesliga,2020,503,0,34,0
bundesliga,2020,277,0,34,0
bundesliga,2021,503,0,34,0
brasileirao_a,2021,1024,0,26,0
brasileirao_a,2021,692,0,23,0
la_liga,2021,6827,0,20,0
brasileirao_a,2022,3427,0,19,0
brasileirao_a,2021,3684,0,19,0
la_liga,2021,528,0,19,0
la_liga,2020,6827,0,18,0
serie_a_it,2023,109,0,18,0
la_liga,2023,6827,0,18,0
brasileirao_a,2024,3621,0,17,0
bundesliga,2021,277,0,17,0
bundesliga,2023,2726,0,16,0
la_liga,2022,36,0,15,0
primeira_liga,2024,58,0,15,0
primeira_liga,2023,58,0,15,0
bundesliga,2023,503,0,15,0
champions_league,2024,503,0,14,0
brasileirao_a,2023,696,0,14,0
champions_league,2021,354,0,14,0
brasileirao_b,2021,3371,0,13,0
champions_league,2023,503,0,12,0
champions_league,2020,503,0,10,0
champions_league,2022,503,0,10,0
libertadores,2023,3608,0,10,0
champions_league,2024,58,0,10,0
champions_league,2021,503,0,10,0
champions_league,2024,647,0,10,0
copa_do_brasil,2021,3621,0,10,0
libertadores,2022,3621,0,8,0
libertadores,2022,3427,0,8,0
champions_league,2020,277,0,8,0
champions_league,2023,647,0,8,0
libertadores,2023,3393,0,8,0
champions_league,2023,571,0,8,0
la_liga,2021,106,0,8,0
champions_league,2021,58,0,8,0
libertadores,2021,3393,0,8,0
libertadores,2022,3930,0,8,0
libertadores,2021,1024,0,7,0
fifa_world_cup_mens,2022,7030804317853736961,0,7,0
brasileirao_a,2023,3371,0,7,0
brasileirao_a,2023,5463,0,7,0
copa_do_brasil,2021,6544,0,6,0
libertadores,2022,3479,0,6,0
libertadores,2021,9269,0,6,0
champions_league,2024,83,0,6,0
champions_league,2022,58,0,6,0
copa_do_brasil,2021,692,0,6,0
copa_do_brasil,2021,696,0,6,0
copa_do_brasil,2021,1024,0,6,0
serie_a_it,2022,1123,0,6,0
libertadores,2023,10671,0,6,0
copa_do_brasil,2022,3621,0,6,0
copa_do_brasil,2022,3684,0,6,0
champions_league,2021,277,0,6,0
copa_do_brasil,2022,9323,0,6,0
copa_do_brasil,2021,3684,0,5,0
libertadores,2021,3684,0,5,0
fifa_world_cup_mens,2022,7030456752538593319,0,5,0
champions_league,2020,649,0,4,0
champions_league,2024,73,0,4,0
copa_do_brasil,2022,5463,0,4,0
copa_do_brasil,2023,3621,0,4,0
champions_league,2023,83,0,4,0
fifa_world_cup_mens,2022,7030750042375044082,0,4,0
copa_do_brasil,2023,2352,0,4,0
copa_do_brasil,2021,6468,0,4,0
champions_league,2024,8111,0,4,0
copa_do_brasil,2022,3427,0,4,0
champions_league,2022,2973,0,4,0
libertadores,2023,3621,0,4,0
copa_do_brasil,2023,13292,0,4,0
copa_do_brasil,2023,6544,0,4,0
fifa_world_cup_mens,2022,7030167035104799597,0,3,0
brasileirao_b,2025,3478,0,3,0
brasileirao_a,2021,2696,0,3,0
premier_league,2022,71,0,3,0
premier_league,2021,20,0,3,0
champions_league,2024,1114,0,3,0
