source,source_record_id,local_team_name,coach_name,clipped_start_date,clipped_end_date,canonical_missing_matches_covered,canonical_assigned_matches_covered,candidate_confidence,team_match_method,identity_match_method,source_url
wikidata_P286_team_to_person,Q50602-6B84856C-4FBA-449A-B5DD-F6AD9191404A,Manchester City,Josep Guardiola,2020-01-01,2025-12-31,191,57,0.8075,token_fuzzy_unique,,http://www.wikidata.org/entity/statement/Q50602-6B84856C-4FBA-449A-B5DD-F6AD9191404A
wikidata_P286_team_to_person,Q8701-E2BF6B96-AEF8-4000-A250-EBD55621D263,Atlético Madrid,Diego Simeone,2020-01-01,2025-12-31,176,58,0.8075,token_fuzzy_unique,,http://www.wikidata.org/entity/statement/Q8701-E2BF6B96-AEF8-4000-A250-EBD55621D263
wikidata_P286_team_to_person,Q9617-ee18dd4d-411d-d761-f987-97a072ff8f53,Arsenal,Mikel Arteta,2020-01-01,2025-12-31,158,56,0.8075,token_fuzzy_unique,same_team_assignment_name,http://www.wikidata.org/entity/statement/Q9617-ee18dd4d-411d-d761-f987-97a072ff8f53
wikidata_P286_team_to_person,Q1543-5d6b4385-46a8-6e98-0fa1-0bc09c1f40b6,AC Milan,Stefano Pioli,2020-01-01,2024-05-26,156,20,0.9500,token_fuzzy_unique,same_team_assignment_name,http://www.wikidata.org/entity/statement/Q1543-5d6b4385-46a8-6e98-0fa1-0bc09c1f40b6
wikidata_P286_team_to_person,Q8682-eddfa56e-4499-4569-0be9-f568cd6ff493,Real Madrid,Carlo Ancelotti,2021-07-01,2025-05-24,146,59,0.9500,token_fuzzy_unique,same_team_assignment_name,http://www.wikidata.org/entity/statement/Q8682-eddfa56e-4499-4569-0be9-f568cd6ff493
wikidata_P286_team_to_person,Q10315-0f2a109d-4f62-83bb-b786-2740c705f827,Real Sociedad,Imanol Alguacil,2020-01-01,2025-06-30,140,58,0.9500,token_fuzzy_unique,,http://www.wikidata.org/entity/statement/Q10315-0f2a109d-4f62-83bb-b786-2740c705f827
wikidata_P286_team_to_person,Q18747-31301cf9-45f1-e9f6-1e2c-97a8e0d67f78,West Ham United,David Moyes,2020-01-01,2024-06-30,133,19,0.9500,token_fuzzy_unique,same_team_assignment_name,http://www.wikidata.org/entity/statement/Q18747-31301cf9-45f1-e9f6-1e2c-97a8e0d67f78
wikidata_P286_team_to_person,q106394-36FF6E42-45D0-4AF5-BB55-AE43CC3463B5,SC Freiburg,Christian Streich,2020-01-01,2024-06-30,118,18,0.9500,token_fuzzy_unique,same_team_assignment_name,http://www.wikidata.org/entity/statement/q106394-36FF6E42-45D0-4AF5-BB55-AE43CC3463B5
wikidata_P286_team_to_person,Q141971-1c97f580-472a-eb6b-5f92-34b5a5762f8f,FC Union Berlin,Urs Fischer,2020-01-01,2023-11-15,117,0,0.9500,token_fuzzy_unique,,http://www.wikidata.org/entity/statement/Q141971-1c97f580-472a-eb6b-5f92-34b5a5762f8f
wikidata_P286_team_to_person,Q1422-f5757682-4e24-e85b-0d35-37c29b34de70,Juventus,Massimiliano Allegri,2021-07-01,2024-05-17,108,18,0.9500,token_fuzzy_unique,same_team_assignment_name,http://www.wikidata.org/entity/statement/Q1422-f5757682-4e24-e85b-0d35-37c29b34de70
