source,coach_name,team_name,start_date,end_date,confidence,source_url,source_record_id,role
wikidata_P6087_person_to_team,Miguel Ângelo da Luz,Clube de Regatas do Flamengo,1994-01-01,1996-01-01,0.72,http://www.wikidata.org/entity/statement/Q10329925-ced2bbab-4e49-2fb9-475d-83a3b967844d,Q10329925-ced2bbab-4e49-2fb9-475d-83a3b967844d,head_coach
wikidata_P6087_person_to_team,Miguel Ângelo da Luz,Clube de Regatas do Flamengo,1994-01-01,2002-01-01,0.72,http://www.wikidata.org/entity/statement/Q10329925-ced2bbab-4e49-2fb9-475d-83a3b967844d,Q10329925-ced2bbab-4e49-2fb9-475d-83a3b967844d,head_coach
wikidata_P6087_person_to_team,Miguel Ângelo da Luz,Clube de Regatas do Flamengo,2000-01-01,1996-01-01,0.72,http://www.wikidata.org/entity/statement/Q10329925-ced2bbab-4e49-2fb9-475d-83a3b967844d,Q10329925-ced2bbab-4e49-2fb9-475d-83a3b967844d,head_coach
wikidata_P6087_person_to_team,Miguel Ângelo da Luz,Clube de Regatas do Flamengo,2000-01-01,2002-01-01,0.72,http://www.wikidata.org/entity/statement/Q10329925-ced2bbab-4e49-2fb9-475d-83a3b967844d,Q10329925-ced2bbab-4e49-2fb9-475d-83a3b967844d,head_coach
wikidata_P6087_person_to_team,Jorge Sampaoli,Clube de Regatas do Flamengo,2023-04-14,2023-09-28,0.72,http://www.wikidata.org/entity/statement/Q1089864-ebbc3b42-4254-ae8b-5da4-6129edbb83f3,Q1089864-ebbc3b42-4254-ae8b-5da4-6129edbb83f3,head_coach
wikidata_P6087_person_to_team,Rogério Ceni,Clube de Regatas do Flamengo,2020-01-01,2021-01-01,0.72,http://www.wikidata.org/entity/statement/Q1249859-8231f589-4af1-b6c2-bab0-8911bada9bb6,Q1249859-8231f589-4af1-b6c2-bab0-8911bada9bb6,head_coach
wikidata_P6087_person_to_team,Renato Gaúcho,Clube de Regatas do Flamengo,,,0.58,http://www.wikidata.org/entity/statement/Q1345763-811cd622-4f70-6a36-ad80-aa5e2f8ebc06,Q1345763-811cd622-4f70-6a36-ad80-aa5e2f8ebc06,head_coach
wikidata_P6087_person_to_team,Nelsinho Baptista,Clube de Regatas do Flamengo,2003-01-01,,0.72,http://www.wikidata.org/entity/statement/Q1362325-9865d7c0-4b1a-7b08-07ee-b89fb0e53c3f,Q1362325-9865d7c0-4b1a-7b08-07ee-b89fb0e53c3f,head_coach
wikidata_P6087_person_to_team,Dorival Júnior,Clube de Regatas do Flamengo,2012-01-01,2013-01-01,0.72,http://www.wikidata.org/entity/statement/Q1608978-74304529-4ad8-ef00-2f3b-bd0bce88c502,Q1608978-74304529-4ad8-ef00-2f3b-bd0bce88c502,head_coach
wikidata_P6087_person_to_team,Dorival Júnior,Clube de Regatas do Flamengo,2018-01-01,,0.72,http://www.wikidata.org/entity/statement/Q1608978-72697625-433c-ef6c-167c-b3e93eab7c65,Q1608978-72697625-433c-ef6c-167c-b3e93eab7c65,head_coach
wikidata_P6087_person_to_team,Dorival Júnior,Clube de Regatas do Flamengo,2022-01-01,,0.72,http://www.wikidata.org/entity/statement/Q1608978-199d44cf-4dc1-1f30-a547-2bcc8595ce10,Q1608978-199d44cf-4dc1-1f30-a547-2bcc8595ce10,head_coach
wikidata_P6087_person_to_team,Freddy Rincón,Associação Atlética Flamengo,,,0.58,http://www.wikidata.org/entity/statement/Q225837-dce6f26e-4a4c-fa3b-0f97-9c17ee91693a,Q225837-dce6f26e-4a4c-fa3b-0f97-9c17ee91693a,head_coach
wikidata_P6087_person_to_team,Filipe Luís,Clube de Regatas do Flamengo (categorias de base),2024-01-01,2024-01-01,0.72,http://www.wikidata.org/entity/statement/Q350547-ef47b98c-4395-8250-bce3-a15272496679,Q350547-ef47b98c-4395-8250-bce3-a15272496679,head_coach
